item_id	country	media_type	code	relevant	relevance_500	relevance_100	relevance_1000
61938	Australia	Blog	2	0	0.145889	0.046936	0.058256
61939	Australia	Blog	2	0	0.130284	0.025637	0.021828
61940	Australia	Blog	2	0	-1	-1	-1
61941	Australia	Blog	2	0	-1	-1	-1
62656	Australia	Blog	2	0	0.610962	0.57065	0.412978
62657	Australia	Blog	2	0	0	0.019272	0.031889
62659	Switzerland	Blog	1	1	0.161195	0.264185	0.058469
63046	Australia	Blog	2	0	0.404405	0.342456	0.459934
63047	Australia	Blog	2	0	0.50514	0.231938	0.351446
63048	Australia	Blog	2	0	0.204659	0.082628	0.223022
63049	Australia	Blog	2	0	0.230058	0	0.077619
63050	Australia	Blog	2	0	0.134371	0.062072	0.095751
63051	Australia	Blog	2	0	0.011938	0.035683	0
63402	Australia	Blog	2	0	0.14647	0	0.013618
63403	Australia	Blog	2	0	0.646461	0.159613	0.505314
63889	Australia	Blog	2	0	0.396033	0	0.257928
64469	Australia	Blog	2	0	0.294405	0.058038	0.080257
64488	Turkey	Blog	4	0	0.223545	0.288059	0.128879
65078	Australia	Blog	2	0	0.66806	0.164762	0.495721
65079	Australia	Blog	2	0	0.121948	0.023202	0.042331
65080	Australia	Blog	2	0	0.382006	0.263447	0.198241
65081	Australia	Blog	2	0	-1	-1	-1
65701	Turkey	Blog	2	0	0.127931	0.116222	0.123435
65702	Turkey	Blog	2	0	0.159194	0.131085	0.141422
66336	Turkey	Blog	2	0	0	0	0
66822	Australia	Blog	2	0	-1	-1	-1
66823	Australia	Blog	2	0	0.15859	0	0
66824	Australia	Blog	2	0	0.447037	0.390383	0.125265
67344	Australia	Blog	2	0	-1	-1	-1
67345	Australia	Blog	2	0	0.31969	0.36398	0.358385
67807	Australia	Blog	2	0	0.476349	0.525395	0.572121
67815	Turkey	Blog	2	0	0.207944	0.392537	0.05995
67816	Turkey	Blog	2	0	0.207342	0.145612	0.056253
68196	Australia	Blog	2	0	0.177978	0.057209	0.232535
68197	Australia	Blog	2	0	0	0	0.163654
68832	Australia	Blog	2	0	0.238076	0.118928	0.131404
68833	Australia	Blog	2	0	0.225657	0.600535	0.127375
68836	Switzerland	Blog	2	0	0.160743	0.245154	0.096803
69233	Australia	Blog	2	0	0.554968	0.437895	0.433227
69234	Australia	Blog	2	0	0.287715	0.142364	0.096102
69235	Australia	Blog	2	0	0.359792	0.124678	0.043678
69236	Australia	Blog	2	0	0.687833	0.854044	0.46549
69237	Australia	Blog	2	0	0.07161	0.586921	0.084553
69728	Australia	Blog	2	0	0.187613	0.133234	0.124235
69729	Australia	Blog	2	0	0.197464	0.115484	0.22208
70344	Australia	Blog	2	0	0.304392	0.459089	0.101408
70366	Turkey	Blog	2	0	0.355649	0.151498	0.139433
70367	Turkey	Blog	2	0	0	0	0
70368	Turkey	Blog	2	0	0.261241	0.020376	0.169623
70369	Turkey	Blog	2	0	0.041217	0	0
70370	Turkey	Blog	2	0	0.318035	0.110353	0.161679
70371	Turkey	Blog	2	0	0.2015	0	0.049021
